airport_id,icao,iata,name,lat,long,country,alt,utcoffset,tzolson
1,AYGA,GKA,Goroka Airport,-6.0816898345,145.391998291,Papua New Guinea,5282,10,Pacific/Port_Moresby
2,AYMD,MAG,Madang Airport,-5.20707988739,145.789001465,Papua New Guinea,20,10,Pacific/Port_Moresby
3,AYMH,HGU,Mount Hagen Kagamuga Airport,-5.82678985595703,144.296005249023,Papua New Guinea,5388,10,Pacific/Port_Moresby
4,AYNZ,LAE,Nadzab Airport,-6.569803,146.725977,Papua New Guinea,239,10,Pacific/Port_Moresby
5,AYPY,POM,Port Moresby Jacksons International Airport,-9.44338035583496,147.220001220703,Papua New Guinea,146,10,Pacific/Port_Moresby
6,AYWK,WWK,Wewak International Airport,-3.58383011818,143.669006348,Papua New Guinea,19,10,Pacific/Port_Moresby
7,BGBW,UAK,Narsarsuaq Airport,61.1604995728,-45.4259986877,Greenland,112,-3,America/Godthab
8,BGGH,GOH,Godthaab / Nuuk Airport,64.19090271,-51.6781005859,Greenland,283,-3,America/Godthab
9,BGSF,SFJ,Kangerlussuaq Airport,67.0122218992,-50.7116031647,Greenland,165,-3,America/Godthab
10,BGTL,THU,Thule Air Base,76.5311965942,-68.7032012939,Greenland,251,-4,America/Thule
11,BIAR,AEY,Akureyri Airport,65.6600036621094,-18.0727005004883,Iceland,6,0,Atlantic/Reykjavik
12,BIEG,EGS,Egilsstaðir Airport,65.2833023071289,-14.4013996124268,Iceland,76,0,Atlantic/Reykjavik
13,BIHN,HFN,Hornafjörður Airport,64.295601,-15.2272,Iceland,24,0,Atlantic/Reykjavik
14,BIHU,HZK,Húsavík Airport,65.952301,-17.426001,Iceland,48,0,Atlantic/Reykjavik
15,BIIS,IFJ,Ísafjörður Airport,66.0580978393555,-23.1352996826172,Iceland,8,0,Atlantic/Reykjavik
16,BIKF,KEF,Keflavik International Airport,63.985000610352,-22.605600357056,Iceland,171,0,Atlantic/Reykjavik
17,BIPA,PFJ,Patreksfjörður Airport,65.555801,-23.965,Iceland,11,0,Atlantic/Reykjavik
18,BIRK,RKV,Reykjavik Airport,64.1299972534,-21.9405994415,Iceland,48,0,Atlantic/Reykjavik
19,BISI,SIJ,Siglufjörður Airport,66.133301,-18.9167,Iceland,10,0,Atlantic/Reykjavik
20,BIVM,VEY,Vestmannaeyjar Airport,63.4243011474609,-20.2789001464844,Iceland,326,0,Atlantic/Reykjavik
21,CYAM,YAM,Sault Ste Marie Airport,46.4850006103516,-84.5093994140625,Canada,630,-5,America/Toronto
22,CYAV,,Winnipeg / St. Andrews Airport,50.0564002991,-97.0325012207,Canada,760,-6,America/Winnipeg
23,CYAW,,Halifax / CFB Shearwater Heliport,44.639702,-63.499401,Canada,144,-4,America/Halifax
24,CYAY,YAY,St. Anthony Airport,51.3918991089,-56.0830993652,Canada,108,-3.5,America/St_Johns
25,CYAZ,YAZ,Tofino / Long Beach Airport,49.079833,-125.775583,Canada,80,-8,America/Vancouver
26,CYBB,YBB,Kugaaruk Airport,68.534401,-89.808098,Canada,56,-7,America/Edmonton
27,CYBC,YBC,Baie Comeau Airport,49.1324996948242,-68.2043991088867,Canada,71,-5,America/Toronto
