tail_id,registration,company,make,model,variant,multipilot,multiengine,engineType,weightClass
1,G-TEST,Shady Aviation Training,Piper,PA-28,Cherokee,0,0,1,0
2,G-NENA,Shady Aviation Training,Piper,PA-28,Cherokee,0,0,1,0
3,G-AUAA,Shady Aviation Training,Piper,PA-28,Cherokee,0,0,1,0
4,G-BOUNCE,Shady Aviation Training,Piper,PA-28,Cherokee,0,0,1,0
5,G-DEBT,Shady Aviation Training,Piper,PA-28,Cherokee,0,0,1,0
6,G-SOLO,Shady Aviation Training,Piper,PA-28,Cherokee,0,0,1,0
7,G-YOLO,Shady Aviation Training,Piper,PA-28,Cherokee,0,0,1,0
8,G-RANDOM,Shady Aviation Training,Piper,PA-28,Cherokee,0,0,1,0
9,G-ETUO,Shady Aviation Training,Diamond,DA-42,MPP,0,1,1,0
10,G-AUII,Shady Aviation Training,Diamond,DA-42,MPP,0,1,1,0
11,G-UOIU,Shady Aviation Training,Diamond,DA-42,MPP,0,1,1,0
12,G-EUOA,Shady Aviation Training,Diamond,DA-42,MPP,0,1,1,0
13,G-EUO,Shady Aviation Training,Diamond,DA-42,MPP,0,1,1,0
14,G-EUOI,Shady Aviation Training,Diamond,DA-42,MPP,0,1,1,0
15,G-EUOH,Shady Aviation Training,Diamond,DA-42,MPP,0,1,1,0
16,EC-TORO,Regional Airways,ATR,42,400,1,1,2,1
17,EC-TORB,Regional Airways,ATR,42,400,1,1,2,1
18,EC-TORH,Regional Airways,ATR,42,400,1,1,2,1
19,EC-TORD,Regional Airways,ATR,42,400,1,1,2,1
20,EC-TORR,Regional Airways,ATR,42,400,1,1,2,1
21,M-CASHT,Executive Air,Cessna,Citation,XLR,0,1,3,0
22,M-CASHA,Executive Air,Cessna,Citation,XLR,0,1,3,0
23,M-CASHE,Executive Air,Cessna,Citation,XLR,0,1,3,0
24,M-CASHO,Executive Air,Cessna,Citation,XLR,0,1,3,0
25,HB-QYDI,Air Legacy,Airbus,A340,300,1,1,3,2
26,HB-QYPI,Air Legacy,Airbus,A340,500,1,1,3,2
27,HB-QZCM,Air Legacy,Airbus,A340,600,1,1,3,2
28,HB-QZVR,Air Legacy,Airbus,A350,900,1,1,3,2
29,HB-QZWF,Air Legacy,Airbus,A350,1000,1,1,3,2
30,HB-REHO,Air Legacy,Airbus,A380,800,1,1,3,3
31,HB-REOD,Air Legacy,Airbus,A220,300,1,1,3,1
32,HB-REOU,Air Legacy,Airbus,A300,600,1,1,3,2
33,HB-REPW,Air Legacy,Airbus,A300,600ST,1,1,3,2
34,HB-RFJF,Air Legacy,Airbus,A310,200,1,1,3,2
35,HB-RFWM,Air Legacy,Airbus,A310,300,1,1,3,2
36,HB-RGJZ,Air Legacy,Airbus,A310,MRTT,1,1,3,2
37,HB-RGMJ,Air Legacy,Airbus,A318,100,1,1,3,1
38,HB-RGPR,Air Legacy,Airbus,A319,100,1,1,3,1
39,HB-RHTQ,Air Legacy,Airbus,A319,NEO,1,1,3,1
40,HB-RIHK,Air Legacy,Airbus,A320,100,1,1,3,1
41,HB-RLJY,Air Legacy,Airbus,A320,200,1,1,3,1
42,HB-RLMY,Air Legacy,Airbus,A320,NEO,1,1,3,1
43,HB-RLRB,Air Legacy,Airbus,A321,100,1,1,3,1
44,HB-RMDX,Air Legacy,Airbus,A321,200,1,1,3,1
45,HB-RMMO,Air Legacy,Airbus,A321,NEO,1,1,3,1
46,HB-RMRT,Air Legacy,Airbus,A321,LR,1,1,3,1
47,HB-RMZR,Air Legacy,Airbus,A321,XLR,1,1,3,1
48,HB-RNMX,Air Legacy,Airbus,A330,200,1,1,3,2
49,HB-RNWB,Air Legacy,Airbus,A330,300,1,1,3,2
50,HB-ROCV,Air Legacy,Airbus,A330,800,1,1,3,2
51,HB-RODH,Air Legacy,Airbus,A330,900,1,1,3,2
52,HB-ROYB,Air Legacy,Airbus,A330,743L,1,1,3,2
53,HB-RPCC,Air Legacy,Airbus,A330,MRTT,1,1,3,2
54,HB-RQFP,Air Legacy,Airbus,A340,200,1,1,3,2
55,HB-RQHH,Air Legacy,Airbus,A340,300,1,1,3,2
56,HB-RQHR,Air Legacy,Airbus,A340,500,1,1,3,2
57,HB-RQOW,Air Legacy,Airbus,A340,600,1,1,3,2
58,HB-RQQS,Air Legacy,Airbus,A350,900,1,1,3,2
59,HB-RRMG,Air Legacy,Airbus,A350,1000,1,1,3,2
60,HB-RSPV,Air Legacy,Airbus,A380,800,1,1,3,3
61,HB-RUFS,Air Legacy,Airbus,A220,300,1,1,3,1
62,HB-RULL,Air Legacy,Airbus,A300,600,1,1,3,2
63,HB-RUWR,Air Legacy,Airbus,A300,600ST,1,1,3,2
64,HB-RXAD,Air Legacy,Airbus,A310,200,1,1,3,2
65,HB-RXBJ,Air Legacy,Airbus,A310,300,1,1,3,2
66,HB-RXCI,Air Legacy,Airbus,A310,MRTT,1,1,3,2
67,HB-RXVR,Air Legacy,Airbus,A318,100,1,1,3,1
68,HB-RYHF,Air Legacy,Airbus,A319,100,1,1,3,1
69,HB-RYNY,Air Legacy,Airbus,A319,NEO,1,1,3,1
70,HB-RZAN,Air Legacy,Airbus,A320,100,1,1,3,1
71,HB-RZGD,Air Legacy,Airbus,A320,200,1,1,3,1
72,HB-RZWP,Air Legacy,Airbus,A320,NEO,1,1,3,1
73,HB-RZZQ,Air Legacy,Airbus,A321,100,1,1,3,1
74,HB-SACK,Air Legacy,Airbus,A321,200,1,1,3,1
75,HB-SALW,Air Legacy,Airbus,A321,NEO,1,1,3,1
76,HB-SCER,Air Legacy,Airbus,A321,LR,1,1,3,1
77,HB-SEGN,Air Legacy,Airbus,A321,XLR,1,1,3,1
78,HB-SFJF,Air Legacy,Airbus,A330,200,1,1,3,2
79,HB-SFRW,Air Legacy,Airbus,A330,300,1,1,3,2
80,HB-SFZG,Air Legacy,Airbus,A330,800,1,1,3,2
81,HB-SGHF,Air Legacy,Airbus,A330,900,1,1,3,2
82,HB-SGJV,Air Legacy,Airbus,A330,743L,1,1,3,2
83,HB-SHSA,Air Legacy,Airbus,A330,MRTT,1,1,3,2
84,HB-SIAH,Air Legacy,Airbus,A340,200,1,1,3,2
85,HB-SIAR,Air Legacy,Airbus,A340,300,1,1,3,2
86,HB-SITH,Air Legacy,Airbus,A340,500,1,1,3,2
87,HB-SIZG,Air Legacy,Airbus,A340,600,1,1,3,2
88,HB-SJOB,Air Legacy,Airbus,A350,900,1,1,3,2
89,HB-SKGM,Air Legacy,Airbus,A350,1000,1,1,3,2
90,HB-SLFQ,Air Legacy,Airbus,A380,800,1,1,3,3
91,HB-SLNH,Air Legacy,Airbus,A220,100,1,1,3,1
92,HB-SMUD,Air Legacy,Airbus,A300,600,1,1,3,2
93,HB-SMXR,Air Legacy,Airbus,A300,600ST,1,1,3,2
94,HB-SONA,Air Legacy,Airbus,A310,200,1,1,3,2
95,HB-SOPY,Air Legacy,Airbus,A310,300,1,1,3,2
96,HB-SOUB,Air Legacy,Airbus,A310,MRTT,1,1,3,2
97,HB-SOWD,Air Legacy,Airbus,A318,100,1,1,3,1
98,HB-SQJS,Air Legacy,Airbus,A319,100,1,1,3,1
99,HB-SRAV,Shady Aviation Training,Piper,PA-28,Cherokee,0,0,1,0
100,HB-SROQ,Shady Aviation Training,Piper,PA-28,Cherokee,0,0,1,0
101,HB-SRVX,Shady Aviation Training,Piper,PA-28,Cherokee,0,0,1,0
102,HB-SSUK,Shady Aviation Training,Piper,PA-28,Cherokee,0,0,1,0
103,HB-STRC,Shady Aviation Training,Piper,PA-28,Cherokee,0,0,1,0
104,HB-STZY,Shady Aviation Training,Piper,PA-28,Cherokee,0,0,1,0
105,HB-SUWE,Shady Aviation Training,Piper,PA-28,Cherokee,0,0,1,1
106,HB-SVKO,Shady Aviation Training,Piper,PA-28,Cherokee,0,0,1,1
107,HB-SXOA,Shady Aviation Training,Diamond,DA-42,MPP,0,1,1,1
108,HB-SXQG,Shady Aviation Training,Diamond,DA-42,MPP,0,1,1,1
109,HB-SXRT,Shady Aviation Training,Diamond,DA-42,MPP,0,1,1,1
110,HB-SXXF,Shady Aviation Training,Diamond,DA-42,MPP,0,1,1,1
111,HB-SYLG,Shady Aviation Training,Diamond,DA-42,MPP,0,1,1,1
112,HB-SZLH,Shady Aviation Training,Diamond,DA-42,MPP,0,1,1,1
113,HB-SZWE,Shady Aviation Training,Diamond,DA-42,MPP,0,1,1,1
114,HB-TAVD,Regional Airways,ATR,42,400,1,1,2,1
115,HB-TCIQ,Regional Airways,ATR,42,400,1,1,2,1
116,HB-TCPS,Regional Airways,ATR,42,400,1,1,2,1
117,HB-TDKV,Regional Airways,ATR,42,400,1,1,2,1
118,HB-TEJK,Regional Airways,ATR,42,400,1,1,2,1
119,HB-TFJK,Air Executive,Cessna,Citation,XLR,0,1,3,0
120,HB-TFLR,Air Executive,Cessna,Citation,XLR,0,1,3,0
121,HB-TFNX,Air Executive,Cessna,Citation,XLR,0,1,3,0
122,HB-TFSP,Air Executive,Cessna,Citation,XLR,0,1,3,0
123,HB-TFZZ,Air Legacy,Boeing,747,300,1,1,3,2
124,HB-TGLP,Air Legacy,Boeing,747,400,1,1,3,2
125,HB-TGQW,Air Legacy,Boeing,747,8,1,1,3,2
126,HB-TIYI,Air Legacy,Boeing,757,200,1,1,3,1
127,HB-TJYO,Air Legacy,Boeing,757,300,1,1,3,1
128,HB-TLHD,Air Legacy,Boeing,767,200,1,1,3,2
129,HB-TLLW,Air Legacy,Boeing,767,200ER,1,1,3,2
130,HB-TNGD,Air Legacy,Boeing,767,300,1,1,3,2
131,HB-TNSN,Air Legacy,Boeing,767,300ER,1,1,3,2
132,HB-TOHL,Air Legacy,Boeing,767,400ER,1,1,3,2
133,HB-TPHR,Air Legacy,Boeing,777,200,1,1,3,2
134,HB-TVAM,Air Legacy,Boeing,777,200ER,1,1,3,2
135,HB-TVKN,Air Legacy,Boeing,777,300,1,1,3,2
136,HB-TWGG,Air Legacy,Boeing,777,8,1,1,3,2
137,HB-TWME,Air Legacy,Boeing,777,9,1,1,3,2
138,HB-TWPY,Air Legacy,Boeing,777,10X,1,1,3,2
139,HB-TWTE,Air Legacy,Boeing,787,8,1,1,3,2
140,HB-TWUY,Air Legacy,Boeing,787,9,1,1,3,2
141,HB-TXYA,Air Legacy,Boeing,787,10,1,1,3,2
142,HB-TYOW,Air Legacy,Boeing,767,300ER,1,1,3,2
143,HB-TYQY,Air Legacy,Boeing,767,400ER,1,1,3,2
144,HB-UAND,Air Legacy,Boeing,777,200,1,1,3,2
145,HB-UBDJ,Air Legacy,Boeing,777,200ER,1,1,3,2
146,HB-UBOJ,Air Legacy,Boeing,777,300,1,1,3,2
147,HB-UBTQ,Air Legacy,Boeing,777,8,1,1,3,2
148,HB-UBXN,Air Legacy,Boeing,777,9,1,1,3,2
149,HB-UEHA,Air Legacy,Boeing,777,10X,1,1,3,2
150,HB-UEPV,Air Legacy,Boeing,787,8,1,1,3,2
151,HB-UEPY,Air Legacy,Boeing,787,9,1,1,3,2
152,HB-UGBM,Air Legacy,Boeing,787,10,1,1,3,2
153,HB-UHBL,Air Legacy,Boeing,707, ,1,1,3,2
154,HB-UHBZ,Air Legacy,Boeing,717,200,1,1,3,1
